training starts for entertainmentweekly 
fy-kihyun Test Perplexity : 17.496
lol-biscuit Test Perplexity : 16.700
------------ dailykos : truthdogg --------------
training starts for yesterdaysprint 
entertainmentweekly Test Perplexity : 27.151
truthdogg Test Perplexity : 24.850
rafi-dangelo Test Perplexity : 25.117
prochoiceamerica Test Perplexity : 25.114
bonniekristian Test Perplexity : 25.504
empowerwomyn Test Perplexity : 26.220
lolmythesis Test Perplexity : 22.702
theliberaltony Test Perplexity : 27.411
repmarktakano Test Perplexity : 35.446
fullmarx Test Perplexity : 24.053
keatonpatti Test Perplexity : 37.928
dailykos Test Perplexity : 25.532
animesocialistparty Test Perplexity : 29.300
sagansense Test Perplexity : 24.523
collegehumor Test Perplexity : 28.343
startswithabang Test Perplexity : 28.084
teamcoco Test Perplexity : 27.955
deadpresidents Test Perplexity : 25.682
thoughtremixer Test Perplexity : 26.255
mepassistant Test Perplexity : 27.341
laliberty Test Perplexity : 23.967
mslovejoy Test Perplexity : 28.111
scullyseviltwin Test Perplexity : 27.644
sprousetwinsblog Test Perplexity : 20.803
allthingsgerman Test Perplexity : 38.510
langsandculture Test Perplexity : 27.254
ladypartsmag Test Perplexity : 149.872
youareinlove Test Perplexity : 24.020
grayflannelsuit Test Perplexity : 23.584
hydeordie Test Perplexity : 27.965
warsofasoiaf Test Perplexity : 23.888
clubsdeuce Test Perplexity : 29.717
chronicintrovert Test Perplexity : 36.841
viktorsyuuris Test Perplexity : 27.751
pseudophan Test Perplexity : 25.270
magnusbaene Test Perplexity : 65.391
fy-kihyun Test Perplexity : 36.523
lol-biscuit Test Perplexity : 35.888
------------ yesterdaysprint : sprousetwinsblog --------------
training starts for animesocialistparty 
entertainmentweekly Test Perplexity : 13.207
truthdogg Test Perplexity : 11.904
rafi-dangelo Test Perplexity : 12.513
prochoiceamerica Test Perplexity : 12.544
bonniekristian Test Perplexity : 12.434
empowerwomyn Test Perplexity : 12.802
lolmythesis Test Perplexity : 15.796
theliberaltony Test Perplexity : 12.077
repmarktakano Test Perplexity : 32.805
fullmarx Test Perplexity : 11.594
keatonpatti Test Perplexity : 13.469
dailykos Test Perplexity : 13.191
animesocialistparty Test Perplexity : 11.597
sagansense Test Perplexity : 12.229
collegehumor Test Perplexity : 19.220
startswithabang Test Perplexity : 13.970
teamcoco Test Perplexity : 13.463
deadpresidents Test Perplexity : 13.298
thoughtremixer Test Perplexity : 11.742
mepassistant Test Perplexity : 12.986
laliberty Test Perplexity : 12.187
mslovejoy Test Perplexity : 14.437
scullyseviltwin Test Perplexity : 13.059
sprousetwinsblog Test Perplexity : 10.450
allthingsgerman Test Perplexity : 17.152
langsandculture Test Perplexity : 11.791
ladypartsmag Test Perplexity : 29.351
youareinlove Test Perplexity : 12.632
grayflannelsuit Test Perplexity : 12.439
hydeordie Test Perplexity : 13.531
warsofasoiaf Test Perplexity : 12.742
clubsdeuce Test Perplexity : 13.458
chronicintrovert Test Perplexity : 16.498
viktorsyuuris Test Perplexity : 14.213
pseudophan Test Perplexity : 12.220
magnusbaene Test Perplexity : 27.633
fy-kihyun Test Perplexity : 17.143
lol-biscuit Test Perplexity : 13.991
------------ animesocialistparty : sprousetwinsblog --------------
training starts for sagansense 
entertainmentweekly Test Perplexity : 10.545
truthdogg Test Perplexity : 9.224
rafi-dangelo Test Perplexity : 9.683
prochoiceamerica Test Perplexity : 9.827
bonniekristian Test Perplexity : 9.832
empowerwomyn Test Perplexity : 10.242
lolmythesis Test Perplexity : 11.922
theliberaltony Test Perplexity : 9.379
repmarktakano Test Perplexity : 19.607
fullmarx Test Perplexity : 9.368
keatonpatti Test Perplexity : 11.051
dailykos Test Perplexity : 13.197
animesocialistparty Test Perplexity : 12.393
sagansense Test Perplexity : 8.595
collegehumor Test Perplexity : 13.637
