['rukiana09', 'http://rukiana09.tumblr.com', 'twitter.com/Rukiana_', '6']
['jununy', 'http://jununy.tumblr.com', 'twitter.com/jununyx', '6']
['arianagrandesource', 'http://arianagrandesource.tumblr.com', 'twitter.com/arianagrande', '12']
['cthroughgaming', 'http://cthroughgaming.tumblr.com', 'twitter.com/CThroughGaming', '6']
['sakuraa', 'http://sakuraa.tumblr.com', 'twitter.com/sakurabutt', '6']
['pugs', 'http://pugs.tumblr.com', 'twitter.com/pugs', '4']
['infinityonhigher', 'http://infinityonhigher.tumblr.com', 'twitter.com/infinityonhighr', '14']
['bts-trans', 'http://bts-trans.tumblr.com', 'twitter.com/BTS_Trans', '4']
['dystopiansushi', 'http://dystopiansushi.tumblr.com', 'twitter.com/dystopiansushi', '14']
['vyctornikiforov', 'http://vyctornikiforov.tumblr.com', 'twitter.com/vyctornikiforov', '15']
['agingphangirl', 'http://agingphangirl.tumblr.com', 'twitter.com/agingfangirl', '6']
['coneboyofficial', 'http://coneboyofficial.tumblr.com', 'twitter.com/coneboyofficial', '15']
['quotesndnotes', 'http://quotesndnotes.tumblr.com', 'twitter.com/Quotes_nd_Notes', '5']
['jaybushman', 'http://jaybushman.tumblr.com', 'twitter.com/jaybushman', '10']
['littlemisssbookworm', 'http://littlemisssbookworm.tumblr.com', 'twitter.com/littlemsbookwrm', '7']
['thedailystyles', 'http://thedailystyles.tumblr.com', 'twitter.com/the_dailystyles', '11']
['wizdomly', 'http://wizdomly.tumblr.com', 'twitter.com/wizdomly', '8']
['dancing-heart-pony', 'http://dancing-heart-pony.tumblr.com', 'twitter.com/dancing_heart22', '7']
['leamichele-news', 'http://leamichele-news.tumblr.com', 'twitter.com/leamichelenews1', '10']
['tylerknott', 'http://tylerknott.tumblr.com', 'twitter.com/TylerKnott', '4']
['linguisten', 'http://linguisten.tumblr.com', 'twitter.com/linguisten', '10']
['peterwknox', 'http://peterwknox.tumblr.com', 'twitter.com/peterknox', '5']
['perfectkicksuk', 'http://perfectkicksuk.tumblr.com', 'twitter.com/perfectkicksuk', '14']
['unbelievable-facts', 'http://unbelievable-facts.tumblr.com', 'twitter.com/UnbelievableFts', '11']
['myfrogcroaked', 'http://myfrogcroaked.tumblr.com', 'twitter.com/MyFrogCroaked', '6']
['introvertdear', 'http://introvertdear.tumblr.com', 'twitter.com/IntrovertDear', '8']
['littlethingsaboutgod', 'http://littlethingsaboutgod.tumblr.com', 'twitter.com/lilthingsabtgod', '8']
['phanfic', 'http://phanfic.tumblr.com', 'twitter.com/phanficofficial', '7']
['darrenandchrisnews', 'http://darrenandchrisnews.tumblr.com', 'twitter.com/darrenchrisnews', '9']
['derangedhyena-delphinidae', 'http://derangedhyena-delphinidae.tumblr.com', 'twitter.com/d_delphinidae', '11']
['stoweboyd', 'http://stoweboyd.tumblr.com', 'twitter.com/stoweboyd', '9']
['trashasaurusrex', 'http://trashasaurusrex.tumblr.com', 'twitter.com/@trashasaurusrex', '15']
['missing-light', 'http://missing-light.tumblr.com', 'twitter.com/missing_light', '7']
['aarontveitdaily', 'http://aarontveitdaily.tumblr.com', 'twitter.com/aarontveit', '10']
['cuddlyreyes', 'http://cuddlyreyes.tumblr.com', 'twitter.com/cuddlyreyes', '11']
['believe-out-loud', 'http://believe-out-loud.tumblr.com', 'twitter.com/BelieveOutLoud', '6']
['ariannabotaku', 'http://ariannabotaku.tumblr.com', 'twitter.com/ariannabotaku', '13']
['thinksquad', 'http://thinksquad.tumblr.com', 'twitter.com/thinksquad', '10']
['creative-universe', 'http://creative-universe.tumblr.com', 'twitter.com/JaymesUniverse', '7']
['wtfuspolitics', 'http://wtfuspolitics.tumblr.com', 'twitter.com/wtfuspolitics', '13']
['huffingtonpost', 'http://huffingtonpost.tumblr.com', 'twitter.com/HuffingtonPost', '9']
['philosophybits', 'http://philosophybits.tumblr.com', 'twitter.com/philobits', '5']
['sahind', 'http://sahind.tumblr.com', 'twitter.com/SahinDuezguen', '4']
['seandotpolitics', 'http://seandotpolitics.tumblr.com', 'twitter.com/seandotpolitics', '15']
['dailyconradricamora', 'http://dailyconradricamora.tumblr.com', 'twitter.com/conradricamora', '14']
['lanadelreychronicles', 'http://lanadelreychronicles.tumblr.com', 'twitter.com/LDRChronicles', '9']
['penship', 'http://penship.tumblr.com', 'twitter.com/penshipofficial', '7']
['belleswift17', 'http://belleswift17.tumblr.com', 'twitter.com/belleswift17', '12']
['lastknownwriter', 'http://lastknownwriter.tumblr.com', 'twitter.com/lastknownwriter', '15']
['tvhousehusband', 'http://tvhousehusband.tumblr.com', 'twitter.com/TVHousehusband', '11']
['nymeriaslady', 'http://nymeriaslady.tumblr.com', 'twitter.com/nymeriaslady', '12']
['pointless-letters', 'http://pointless-letters.tumblr.com', 'twitter.com/pointlesslettrs', '9']
['libraryadvocates', 'http://libraryadvocates.tumblr.com', 'twitter.com/@ALALibrary', '6']
['netlex', 'http://netlex.tumblr.com', 'twitter.com/netlex', '6']
['theweekmagazine', 'http://theweekmagazine.tumblr.com', 'twitter.com/theweek', '7']
['chartier', 'http://chartier.tumblr.com', 'twitter.com/chartier', '8']
['kanneki', 'http://kanneki.tumblr.com', 'twitter.com/kanneki_', '7']
['fitstud', 'http://fitstud.tumblr.com', 'twitter.com/fitstuds1', '7']
['peachdeluxe', 'http://peachdeluxe.tumblr.com', 'twitter.com/deluxepeach', '6']
['hoseokxx', 'http://hoseokxx.tumblr.com', 'twitter.com/xhoseokxx', '8']
['parisinthe1920s', 'http://parisinthe1920s.tumblr.com', 'twitter.com/parisinthe1920s', '15']
['bromatsu', 'http://bromatsu.tumblr.com', 'twitter.com/bromatsu91', '8']
['ourspanishblog', 'http://ourspanishblog.tumblr.com', 'twitter.com/OurSpanish', '6']
['gotmeolk', 'http://gotmeolk.tumblr.com', 'twitter.com/gotmeolk', '8']
['jordanunderneath', 'http://jordanunderneath.tumblr.com', 'twitter.com/jordanisbeneath', '6']
['noahmead', 'http://noahmead.tumblr.com', 'twitter.com/noahjmead', '4']
['jadafitch', 'http://jadafitch.tumblr.com', 'twitter.com/JadaFitch', '4']
['dearmyblank', 'http://dearmyblank.tumblr.com', 'twitter.com/@dearmyblank', '11']
['artroan', 'http://artroan.tumblr.com', 'twitter.com/artroan_', '7']
['warmstarlight', 'http://warmstarlight.tumblr.com', 'twitter.com/warmstarlight', '13']
['talinvas', 'http://talinvas.tumblr.com', 'twitter.com/talinvas', '8']
['inunushu', 'http://inunushu.tumblr.com', 'twitter.com/inunushu', '8']
['lvh1331', 'http://lvh1331.tumblr.com', 'twitter.com/lvh13318', '7']
['podigious', 'http://podigious.tumblr.com', 'twitter.com/podigious', '9']
['synqra', 'http://synqra.tumblr.com', 'twitter.com/sadsyndra', '3']
['ecstasymodels', 'http://ecstasymodels.tumblr.com', 'twitter.com/EcstasyModels', '6']
['realreadingrainbow', 'http://realreadingrainbow.tumblr.com', 'twitter.com/readingrainbow', '14']
['roninmccree', 'http://roninmccree.tumblr.com', 'twitter.com/irljessemccree', '6']
['angrycockatoogirl', 'http://angrycockatoogirl.tumblr.com', 'twitter.com/AngryCockatoo', '7']
['vvwin', 'http://vvwin.tumblr.com', 'twitter.com/butterflywinnet', '3']
['corvettes', 'http://corvettes.tumblr.com', 'twitter.com/corvetteblogger', '8']
['tinycartridge', 'http://tinycartridge.tumblr.com', 'twitter.com/tinycartridge', '13']
['slimygrrrl', 'http://slimygrrrl.tumblr.com', 'twitter.com/slimygrrrl', '10']
['whiletruetypecode', 'http://whiletruetypecode.tumblr.com', 'twitter.com/whiletruetype', '13']
['mordhiobhail', 'http://mordhiobhail.tumblr.com', 'twitter.com/mordhiobhail', '12']
['hakkids', 'http://hakkids.tumblr.com', 'twitter.com/HakkiDS2', '4']
['twloha', 'http://twloha.tumblr.com', 'twitter.com/twloha', '6']
['toretaas', 'http://toretaas.tumblr.com', 'twitter.com/ToretasDoodle', '5']
['foodpornit', 'http://foodpornit.tumblr.com', 'twitter.com/@foodporn', '8']
