15 85 85 3
13-TrainLoss = 0.200, TrainAccr= 0.990, ValidLoss = 2.161, ValidAccr= 0.379
14-TrainLoss = 0.155, TrainAccr= 0.992, ValidLoss = 2.197, ValidAccr= 0.379
15-TrainLoss = 0.122, TrainAccr= 0.995, ValidLoss = 2.238, ValidAccr= 0.364
16-TrainLoss = 0.096, TrainAccr= 0.996, ValidLoss = 2.263, ValidAccr= 0.369
17-TrainLoss = 0.078, TrainAccr= 0.997, ValidLoss = 2.290, ValidAccr= 0.377
18-TrainLoss = 0.065, TrainAccr= 0.998, ValidLoss = 2.314, ValidAccr= 0.370
19-TrainLoss = 0.055, TrainAccr= 0.999, ValidLoss = 2.361, ValidAccr= 0.365
accr is 0.500 accr per post is 0.365
0-TrainLoss = 2.878, TrainAccr= 0.053, ValidLoss = 2.527, ValidAccr= 0.084
1-TrainLoss = 2.556, TrainAccr= 0.089, ValidLoss = 2.387, ValidAccr= 0.084
2-TrainLoss = 2.439, TrainAccr= 0.102, ValidLoss = 2.333, ValidAccr= 0.086
3-TrainLoss = 2.333, TrainAccr= 0.133, ValidLoss = 2.274, ValidAccr= 0.090
4-TrainLoss = 2.223, TrainAccr= 0.191, ValidLoss = 2.212, ValidAccr= 0.147
5-TrainLoss = 2.048, TrainAccr= 0.299, ValidLoss = 2.138, ValidAccr= 0.282
6-TrainLoss = 1.835, TrainAccr= 0.453, ValidLoss = 2.061, ValidAccr= 0.351
7-TrainLoss = 1.580, TrainAccr= 0.599, ValidLoss = 1.985, ValidAccr= 0.385
8-TrainLoss = 1.299, TrainAccr= 0.709, ValidLoss = 1.925, ValidAccr= 0.402
9-TrainLoss = 1.027, TrainAccr= 0.805, ValidLoss = 1.868, ValidAccr= 0.419
10-TrainLoss = 0.804, TrainAccr= 0.866, ValidLoss = 1.835, ValidAccr= 0.427
11-TrainLoss = 0.620, TrainAccr= 0.910, ValidLoss = 1.875, ValidAccr= 0.417
12-TrainLoss = 0.474, TrainAccr= 0.942, ValidLoss = 1.936, ValidAccr= 0.402
13-TrainLoss = 0.354, TrainAccr= 0.965, ValidLoss = 1.973, ValidAccr= 0.394
14-TrainLoss = 0.271, TrainAccr= 0.976, ValidLoss = 2.016, ValidAccr= 0.386
15-TrainLoss = 0.208, TrainAccr= 0.985, ValidLoss = 2.024, ValidAccr= 0.387
16-TrainLoss = 0.167, TrainAccr= 0.988, ValidLoss = 2.055, ValidAccr= 0.385
17-TrainLoss = 0.133, TrainAccr= 0.993, ValidLoss = 2.174, ValidAccr= 0.366
18-TrainLoss = 0.110, TrainAccr= 0.995, ValidLoss = 2.075, ValidAccr= 0.391
19-TrainLoss = 0.090, TrainAccr= 0.997, ValidLoss = 2.107, ValidAccr= 0.381
accr is 0.600 accr per post is 0.379
15 85 95 3
0-TrainLoss = 2.762, TrainAccr= 0.055, ValidLoss = 2.654, ValidAccr= 0.024
1-TrainLoss = 2.521, TrainAccr= 0.055, ValidLoss = 2.474, ValidAccr= 0.024
2-TrainLoss = 2.380, TrainAccr= 0.086, ValidLoss = 2.363, ValidAccr= 0.036
3-TrainLoss = 2.220, TrainAccr= 0.195, ValidLoss = 2.272, ValidAccr= 0.164
4-TrainLoss = 2.009, TrainAccr= 0.405, ValidLoss = 2.192, ValidAccr= 0.251
5-TrainLoss = 1.767, TrainAccr= 0.590, ValidLoss = 2.111, ValidAccr= 0.290
6-TrainLoss = 1.466, TrainAccr= 0.746, ValidLoss = 2.028, ValidAccr= 0.320
7-TrainLoss = 1.136, TrainAccr= 0.853, ValidLoss = 1.955, ValidAccr= 0.333
8-TrainLoss = 0.853, TrainAccr= 0.904, ValidLoss = 1.908, ValidAccr= 0.339
9-TrainLoss = 0.643, TrainAccr= 0.939, ValidLoss = 1.899, ValidAccr= 0.340
10-TrainLoss = 0.472, TrainAccr= 0.962, ValidLoss = 1.919, ValidAccr= 0.341
11-TrainLoss = 0.354, TrainAccr= 0.977, ValidLoss = 1.954, ValidAccr= 0.340
12-TrainLoss = 0.267, TrainAccr= 0.985, ValidLoss = 1.991, ValidAccr= 0.336
13-TrainLoss = 0.211, TrainAccr= 0.992, ValidLoss = 2.031, ValidAccr= 0.335
14-TrainLoss = 0.168, TrainAccr= 0.994, ValidLoss = 2.075, ValidAccr= 0.327
15-TrainLoss = 0.137, TrainAccr= 0.996, ValidLoss = 2.116, ValidAccr= 0.318
16-TrainLoss = 0.112, TrainAccr= 0.997, ValidLoss = 2.158, ValidAccr= 0.319
17-TrainLoss = 0.094, TrainAccr= 0.999, ValidLoss = 2.185, ValidAccr= 0.319
18-TrainLoss = 0.079, TrainAccr= 0.999, ValidLoss = 2.209, ValidAccr= 0.322
19-TrainLoss = 0.068, TrainAccr= 0.999, ValidLoss = 2.229, ValidAccr= 0.318
accr is 0.700 accr per post is 0.319
0-TrainLoss = 2.878, TrainAccr= 0.097, ValidLoss = 2.816, ValidAccr= 0.013
1-TrainLoss = 2.573, TrainAccr= 0.069, ValidLoss = 2.550, ValidAccr= 0.013
2-TrainLoss = 2.418, TrainAccr= 0.095, ValidLoss = 2.408, ValidAccr= 0.013
3-TrainLoss = 2.284, TrainAccr= 0.153, ValidLoss = 2.340, ValidAccr= 0.022
4-TrainLoss = 2.134, TrainAccr= 0.258, ValidLoss = 2.302, ValidAccr= 0.073
5-TrainLoss = 1.957, TrainAccr= 0.400, ValidLoss = 2.270, ValidAccr= 0.169
6-TrainLoss = 1.754, TrainAccr= 0.555, ValidLoss = 2.233, ValidAccr= 0.192
7-TrainLoss = 1.510, TrainAccr= 0.700, ValidLoss = 2.189, ValidAccr= 0.203
8-TrainLoss = 1.251, TrainAccr= 0.790, ValidLoss = 2.163, ValidAccr= 0.222
9-TrainLoss = 0.998, TrainAccr= 0.851, ValidLoss = 2.151, ValidAccr= 0.229
10-TrainLoss = 0.773, TrainAccr= 0.900, ValidLoss = 2.136, ValidAccr= 0.242
11-TrainLoss = 0.587, TrainAccr= 0.938, ValidLoss = 2.131, ValidAccr= 0.261
12-TrainLoss = 0.456, TrainAccr= 0.956, ValidLoss = 2.153, ValidAccr= 0.264
13-TrainLoss = 0.356, TrainAccr= 0.972, ValidLoss = 2.174, ValidAccr= 0.271
14-TrainLoss = 0.280, TrainAccr= 0.982, ValidLoss = 2.208, ValidAccr= 0.271
15-TrainLoss = 0.227, TrainAccr= 0.989, ValidLoss = 2.252, ValidAccr= 0.276
16-TrainLoss = 0.187, TrainAccr= 0.994, ValidLoss = 2.225, ValidAccr= 0.288
17-TrainLoss = 0.155, TrainAccr= 0.994, ValidLoss = 2.230, ValidAccr= 0.292
18-TrainLoss = 0.132, TrainAccr= 0.996, ValidLoss = 2.208, ValidAccr= 0.305
19-TrainLoss = 0.112, TrainAccr= 0.997, ValidLoss = 2.164, ValidAccr= 0.317
accr is 0.600 accr per post is 0.316
0-TrainLoss = 2.712, TrainAccr= 0.072, ValidLoss = 2.337, ValidAccr= 0.024
1-TrainLoss = 2.501, TrainAccr= 0.082, ValidLoss = 2.244, ValidAccr= 0.024
2-TrainLoss = 2.389, TrainAccr= 0.104, ValidLoss = 2.199, ValidAccr= 0.035
3-TrainLoss = 2.271, TrainAccr= 0.157, ValidLoss = 2.172, ValidAccr= 0.234
4-TrainLoss = 2.133, TrainAccr= 0.268, ValidLoss = 2.152, ValidAccr= 0.342
5-TrainLoss = 1.959, TrainAccr= 0.383, ValidLoss = 2.115, ValidAccr= 0.385
6-TrainLoss = 1.735, TrainAccr= 0.541, ValidLoss = 2.064, ValidAccr= 0.404
7-TrainLoss = 1.472, TrainAccr= 0.714, ValidLoss = 2.002, ValidAccr= 0.431
8-TrainLoss = 1.191, TrainAccr= 0.832, ValidLoss = 1.940, ValidAccr= 0.442
9-TrainLoss = 0.925, TrainAccr= 0.901, ValidLoss = 1.879, ValidAccr= 0.457
10-TrainLoss = 0.702, TrainAccr= 0.937, ValidLoss = 1.804, ValidAccr= 0.477
11-TrainLoss = 0.524, TrainAccr= 0.960, ValidLoss = 1.714, ValidAccr= 0.497
12-TrainLoss = 0.405, TrainAccr= 0.973, ValidLoss = 1.655, ValidAccr= 0.507
13-TrainLoss = 0.303, TrainAccr= 0.983, ValidLoss = 1.635, ValidAccr= 0.517
14-TrainLoss = 0.239, TrainAccr= 0.989, ValidLoss = 1.649, ValidAccr= 0.513
15-TrainLoss = 0.187, TrainAccr= 0.994, ValidLoss = 1.615, ValidAccr= 0.525
16-TrainLoss = 0.152, TrainAccr= 0.996, ValidLoss = 1.633, ValidAccr= 0.528
17-TrainLoss = 0.126, TrainAccr= 0.996, ValidLoss = 1.592, ValidAccr= 0.535
18-TrainLoss = 0.106, TrainAccr= 0.998, ValidLoss = 1.593, ValidAccr= 0.538
19-TrainLoss = 0.089, TrainAccr= 0.998, ValidLoss = 1.603, ValidAccr= 0.536
accr is 0.700 accr per post is 0.539
0-TrainLoss = 2.827, TrainAccr= 0.055, ValidLoss = 2.770, ValidAccr= 0.030
1-TrainLoss = 2.544, TrainAccr= 0.070, ValidLoss = 2.594, ValidAccr= 0.030
2-TrainLoss = 2.431, TrainAccr= 0.086, ValidLoss = 2.505, ValidAccr= 0.031
3-TrainLoss = 2.308, TrainAccr= 0.128, ValidLoss = 2.464, ValidAccr= 0.039
4-TrainLoss = 2.160, TrainAccr= 0.240, ValidLoss = 2.449, ValidAccr= 0.061
5-TrainLoss = 1.970, TrainAccr= 0.386, ValidLoss = 2.422, ValidAccr= 0.090
6-TrainLoss = 1.733, TrainAccr= 0.532, ValidLoss = 2.412, ValidAccr= 0.111
7-TrainLoss = 1.468, TrainAccr= 0.635, ValidLoss = 2.402, ValidAccr= 0.135
8-TrainLoss = 1.218, TrainAccr= 0.715, ValidLoss = 2.409, ValidAccr= 0.149
9-TrainLoss = 0.984, TrainAccr= 0.800, ValidLoss = 2.428, ValidAccr= 0.174
10-TrainLoss = 0.786, TrainAccr= 0.864, ValidLoss = 2.460, ValidAccr= 0.197
11-TrainLoss = 0.615, TrainAccr= 0.912, ValidLoss = 2.498, ValidAccr= 0.211
12-TrainLoss = 0.466, TrainAccr= 0.949, ValidLoss = 2.554, ValidAccr= 0.220
13-TrainLoss = 0.355, TrainAccr= 0.968, ValidLoss = 2.615, ValidAccr= 0.226
