15 40 100 3
8-TrainLoss = 1.623, TrainAccr= 0.581, ValidLoss = 2.247, ValidAccr= 0.146
9-TrainLoss = 1.406, TrainAccr= 0.678, ValidLoss = 2.204, ValidAccr= 0.181
10-TrainLoss = 1.190, TrainAccr= 0.754, ValidLoss = 2.149, ValidAccr= 0.223
11-TrainLoss = 0.991, TrainAccr= 0.821, ValidLoss = 2.092, ValidAccr= 0.273
12-TrainLoss = 0.804, TrainAccr= 0.872, ValidLoss = 2.041, ValidAccr= 0.299
13-TrainLoss = 0.645, TrainAccr= 0.912, ValidLoss = 2.022, ValidAccr= 0.318
14-TrainLoss = 0.518, TrainAccr= 0.936, ValidLoss = 2.001, ValidAccr= 0.323
15-TrainLoss = 0.417, TrainAccr= 0.957, ValidLoss = 2.007, ValidAccr= 0.330
16-TrainLoss = 0.330, TrainAccr= 0.971, ValidLoss = 2.010, ValidAccr= 0.338
17-TrainLoss = 0.267, TrainAccr= 0.980, ValidLoss = 2.013, ValidAccr= 0.343
18-TrainLoss = 0.218, TrainAccr= 0.985, ValidLoss = 2.038, ValidAccr= 0.342
19-TrainLoss = 0.180, TrainAccr= 0.989, ValidLoss = 2.050, ValidAccr= 0.346
accr is 0.700 accr per post is 0.345
15 50 100 3
0-TrainLoss = 2.816, TrainAccr= 0.038, ValidLoss = 2.385, ValidAccr= 0.138
1-TrainLoss = 2.584, TrainAccr= 0.068, ValidLoss = 2.361, ValidAccr= 0.148
2-TrainLoss = 2.487, TrainAccr= 0.083, ValidLoss = 2.352, ValidAccr= 0.153
3-TrainLoss = 2.402, TrainAccr= 0.112, ValidLoss = 2.338, ValidAccr= 0.157
4-TrainLoss = 2.293, TrainAccr= 0.156, ValidLoss = 2.306, ValidAccr= 0.164
5-TrainLoss = 2.142, TrainAccr= 0.231, ValidLoss = 2.245, ValidAccr= 0.179
6-TrainLoss = 1.979, TrainAccr= 0.313, ValidLoss = 2.191, ValidAccr= 0.196
7-TrainLoss = 1.815, TrainAccr= 0.401, ValidLoss = 2.137, ValidAccr= 0.248
8-TrainLoss = 1.626, TrainAccr= 0.520, ValidLoss = 2.075, ValidAccr= 0.306
9-TrainLoss = 1.443, TrainAccr= 0.632, ValidLoss = 2.021, ValidAccr= 0.347
10-TrainLoss = 1.282, TrainAccr= 0.682, ValidLoss = 2.067, ValidAccr= 0.354
11-TrainLoss = 1.127, TrainAccr= 0.782, ValidLoss = 1.947, ValidAccr= 0.384
12-TrainLoss = 0.933, TrainAccr= 0.843, ValidLoss = 1.908, ValidAccr= 0.396
13-TrainLoss = 0.776, TrainAccr= 0.884, ValidLoss = 1.894, ValidAccr= 0.387
14-TrainLoss = 0.628, TrainAccr= 0.921, ValidLoss = 1.876, ValidAccr= 0.397
15-TrainLoss = 0.508, TrainAccr= 0.945, ValidLoss = 1.890, ValidAccr= 0.388
16-TrainLoss = 0.417, TrainAccr= 0.958, ValidLoss = 1.888, ValidAccr= 0.391
17-TrainLoss = 0.346, TrainAccr= 0.969, ValidLoss = 1.909, ValidAccr= 0.377
18-TrainLoss = 0.293, TrainAccr= 0.974, ValidLoss = 1.894, ValidAccr= 0.383
19-TrainLoss = 0.248, TrainAccr= 0.981, ValidLoss = 1.862, ValidAccr= 0.397
accr is 0.800 accr per post is 0.399
0-TrainLoss = 2.876, TrainAccr= 0.075, ValidLoss = 2.425, ValidAccr= 0.120
1-TrainLoss = 2.621, TrainAccr= 0.084, ValidLoss = 2.323, ValidAccr= 0.116
2-TrainLoss = 2.521, TrainAccr= 0.087, ValidLoss = 2.279, ValidAccr= 0.119
3-TrainLoss = 2.410, TrainAccr= 0.119, ValidLoss = 2.247, ValidAccr= 0.120
4-TrainLoss = 2.314, TrainAccr= 0.167, ValidLoss = 2.226, ValidAccr= 0.122
5-TrainLoss = 2.216, TrainAccr= 0.227, ValidLoss = 2.203, ValidAccr= 0.131
6-TrainLoss = 2.082, TrainAccr= 0.309, ValidLoss = 2.184, ValidAccr= 0.159
7-TrainLoss = 1.922, TrainAccr= 0.401, ValidLoss = 2.158, ValidAccr= 0.194
8-TrainLoss = 1.748, TrainAccr= 0.489, ValidLoss = 2.139, ValidAccr= 0.197
9-TrainLoss = 1.567, TrainAccr= 0.575, ValidLoss = 2.114, ValidAccr= 0.203
10-TrainLoss = 1.377, TrainAccr= 0.670, ValidLoss = 2.090, ValidAccr= 0.206
11-TrainLoss = 1.205, TrainAccr= 0.738, ValidLoss = 2.068, ValidAccr= 0.208
12-TrainLoss = 1.028, TrainAccr= 0.801, ValidLoss = 2.050, ValidAccr= 0.213
13-TrainLoss = 0.875, TrainAccr= 0.845, ValidLoss = 2.033, ValidAccr= 0.214
14-TrainLoss = 0.746, TrainAccr= 0.875, ValidLoss = 2.020, ValidAccr= 0.227
15-TrainLoss = 0.632, TrainAccr= 0.906, ValidLoss = 2.007, ValidAccr= 0.231
16-TrainLoss = 0.541, TrainAccr= 0.926, ValidLoss = 1.999, ValidAccr= 0.244
17-TrainLoss = 0.460, TrainAccr= 0.944, ValidLoss = 1.995, ValidAccr= 0.250
18-TrainLoss = 0.392, TrainAccr= 0.954, ValidLoss = 1.998, ValidAccr= 0.259
19-TrainLoss = 0.334, TrainAccr= 0.966, ValidLoss = 2.005, ValidAccr= 0.264
accr is 0.300 accr per post is 0.261
0-TrainLoss = 2.993, TrainAccr= 0.051, ValidLoss = 2.547, ValidAccr= 0.013
1-TrainLoss = 2.655, TrainAccr= 0.071, ValidLoss = 2.394, ValidAccr= 0.031
2-TrainLoss = 2.534, TrainAccr= 0.083, ValidLoss = 2.335, ValidAccr= 0.050
3-TrainLoss = 2.438, TrainAccr= 0.098, ValidLoss = 2.292, ValidAccr= 0.097
